BoroughCode,StatusOrderNumber,SignSequence,Distance,ArrowPoints,SignDescription
B,P-170143,10,317,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-170143,11,386,   ,Building Line
B,P-170143,12,405,   ,Curb Line
B,P-177637,1,0,   ,Curb Line
B,P-177637,2,14,   ,Building Line
B,P-177637,3,78,   ,NO PARKING 7:30-8AM EXCEPT SUNDAY                                                                                                                                
B,P-177637,4,78,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-177637,5,172,W  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-177637,6,172,E  ,NO PARKING 7:30AM-8AM EXCEPT SUNDAY (SINGLE ARROW)                                                                                                                      
B,P-177637,7,172,E  ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-177637,8,215,E  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-177637,9,218,   ,Building Line
B,P-177637,10,232,   ,Curb Line
B,P-177988,1,0,   ,Curb Line
B,P-177988,2,14,   ,Property Line
B,P-177988,3,69,   ,NO PARKING (SANITATION BROOM SYMBOL)7:30-8AM MON&THURS                                                                                                           
B,P-177988,4,175,N  ,NO PARKING (SANITATION BROOM SYMBOL)7:30-8AM MON &THURS W/SINGLE ARROW                                                                                                  
B,P-177988,5,175,S  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-177988,6,175,S  ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-177988,7,326,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-177988,8,326,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-177988,9,461,N  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-177988,10,461,N  ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-177988,11,498,N  ,NO PARKING ANYTIME (SINGLE ARROW)(SUPERSEDES R7-40 DON'TUSE R7-40)                                                                                                      
B,P-177988,12,542,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-177988,13,542,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-177988,14,560,N  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-177988,15,560,N  ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-177988,16,560,S  ,NO STANDING 7AM-7PM EXCEPT SUNDAY EXCEPT AUTHORIZED VEHICLES W/SINGLE ARROW                                                                                             
B,P-177988,17,560,   ,AMBULETTE                                                                                                                                                               
B,P-177988,18,652,N  ,NO STANDING 7AM-7PM EXCEPT SUNDAY EXCEPT AUTHORIZED VEHICLES W/SINGLE ARROW                                                                                             
B,P-177988,19,652,   ,AMBULETTE                                                                                                                                                               
B,P-177988,20,652,S  ,NO PARKING ANYTIME (SINGLE ARROW)(SUPERSEDES R7-40 DON'TUSE R7-40)                                                                                                      
B,P-177988,21,710,   ,NO PARKING ANYTIME  (SUPERSEDES R7-40 DON'T USE --R7-40)                                                                                                          
B,P-177988,22,729,   ,Property Line
B,P-177988,23,748,   ,Curb Line
B,P-178720,1,0,   ,Curb Line
B,P-178720,2,10,   ,Property Line
B,P-178720,3,92,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-178720,4,152,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-178720,5,283,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-178720,6,334,S  ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI W/SINGLE ARROW                                                                                           
B,P-178720,7,422,S  ,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW                                                                                                      
B,P-178720,8,422,   ,"M 18 LTD (12""X 6"") 8 STREET 4 AVENUE (16""X 6"") (ROUTE DESTINATION PANEL 032""X 06"")(USE AS EXAMPLE FOR DIFFERENT LOCATION)                                               "
B,P-178720,9,422,   ,14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION)                                                                                     
B,P-178720,10,552,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-178720,11,552,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-178720,12,678,S  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-178720,13,678,S  ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-178720,14,691,   ,Property Line
B,P-178720,15,710,   ,Curb Line
B,P-179552,1,0,   ,Curb Line
B,P-179552,2,15,   ,Building Line
B,P-179552,3,19,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179552,4,19,   ,NO PARKING 8AM-6PM EXCEPT SUNDAY                                                                                                                                 
B,P-179552,5,98,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179552,6,98,W  ,NO PARKING 8AM-6PM EXCEPT SUNDAY (SINGLE HEAD ARROW)                                                                                                                    
B,P-179552,7,98,E  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179552,8,98,E  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179552,9,199,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179552,10,199,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179552,11,199,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D
B,P-179552,12,203,E  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179552,13,203,W  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-179552,14,203,W  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179552,15,241,   ,Curb Line
B,P-179553,1,0,   ,Curb Line
B,P-179553,2,0,N  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179553,3,19,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179553,4,19,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179553,5,19,   ,BACK IN 60 DEGREE PARKING ONLY                                                                                                                                     
B,P-179553,6,19,   ,PAY AT MUNI-METER  NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER COMM J.S-K 10/23/2009)   
B,P-179553,7,41,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179553,8,41,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179553,9,41,   ,BACK IN 60 DEGREE PARKING ONLY                                                                                                                                     
B,P-179553,10,41,   ,PAY AT MUNI-METER  NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER COMM J.S-K 10/23/2009)   
B,P-179553,11,77,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179553,12,77,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179553,13,77,   ,BACK IN 60 DEGREE PARKING ONLY                                                                                                                                     
B,P-179553,14,77,S  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179553,15,156,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179553,16,156,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179553,17,156,   ,BACK IN 60 DEGREE PARKING ONLY                                                                                                                                     
B,P-179553,18,156,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179553,19,156,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179553,20,156,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D
B,P-179553,21,191,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179553,22,191,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179553,23,191,   ,BACK IN 60 DEGREE PARKING ONLY                                                                                                                                     
B,P-179553,24,191,N  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179553,25,245,N  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-179553,26,245,N  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179553,27,245,N  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179553,28,268,   ,Building Line
B,P-179553,29,271,N  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179553,30,286,   ,Curb Line
B,P-179554,1,0,   ,Curb Line
B,P-179554,2,19,   ,Building Line
B,P-179554,3,19,S  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179554,4,44,N  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179554,5,44,S  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-179554,6,44,S  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179554,7,44,S  ,BACK IN 60 DEGREE PARKING ONLY W/SINGLE ARROW                                                                                                                           
B,P-179554,8,44,S  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179554,9,113,S  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179554,10,113,N  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-179554,11,113,N  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179554,12,113,N  ,BACK IN 60 DEGREE PARKING ONLY W/SINGLE ARROW                                                                                                                           
B,P-179554,13,113,S  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179554,14,136,N  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179554,15,136,S  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-179554,16,136,S  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179554,17,136,S  ,PARALLEL PARKING ONLY W/ SINGLE ARROW (SUPERSEDES R7-100RA DATED 7-11-86)                                                                                               
B,P-179554,18,136,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179554,19,136,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179554,20,136,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D
B,P-179554,21,209,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179554,22,209,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179554,23,209,   ,PAY AT MUNI-METER  NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER COMM J.S-K 10/23/2009)   
B,P-179554,24,238,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179554,25,238,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179554,26,238,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179554,27,238,   ,P MUNI-METER PAY & DISPLAY RECEIPT IN VEHICLE                                                                                                                           
B,P-179554,28,238,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D
B,P-179554,29,326,S  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179554,30,326,N  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-179554,31,326,N  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179554,32,326,N  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179554,33,363,N  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-179554,34,363,   ,Building Line
B,P-179554,35,380,   ,Curb Line
B,P-179555,1,0,   ,Curb Line
B,P-179555,2,8,   ,Property Line
B,P-179555,3,71,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUN  (SUPERSEDES SP-183C DATED 7/10/97)                                                                      
B,P-179555,4,71,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179555,5,71,W  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179555,6,182,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUN  (SUPERSEDES SP-183C DATED 7/10/97)                                                                      
B,P-179555,7,182,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179555,8,182,E  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179555,9,215,   ,Building Line
B,P-179555,10,228,   ,Curb Line
B,P-179556,1,0,   ,Curb Line
B,P-179556,2,13,   ,Building Line
B,P-179556,3,25,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUN  (SUPERSEDES SP-183C DATED 7/10/97)                                                                      
B,P-179556,4,25,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179556,5,25,W  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179556,6,103,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUN  (SUPERSEDES SP-183C DATED 7/10/97)                                                                      
B,P-179556,7,103,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179556,8,103,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D
B,P-179556,9,204,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUN  (SUPERSEDES SP-183C DATED 7/10/97)                                                                      
B,P-179556,10,204,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179556,11,204,E  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179556,12,216,   ,Building Line
B,P-179556,13,230,   ,Curb Line
B,P-179557,1,0,   ,Curb Line
B,P-179557,2,13,   ,Building Line
B,P-179557,3,78,W  ,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW                                                                                                      
B,P-179557,4,78,   ,"M 18 LTD (12""X 6"") 8 STREET 4 AVENUE (16""X 6"") (ROUTE DESTINATION PANEL 032""X 06"")(USE AS EXAMPLE FOR DIFFERENT LOCATION)                                               "
B,P-179557,5,78,   ,14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION)                                                                                     
B,P-179557,6,95,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN  (SUPERSEDES SP-182C)                                                                                    
B,P-179557,7,95,   ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY                                                                                                                            
B,P-179557,8,95,E  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179557,9,166,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN  (SUPERSEDES SP-182C)                                                                                    
B,P-179557,10,166,   ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY                                                                                                                            
B,P-179557,11,166,W  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179557,12,216,   ,Building Line
B,P-179557,13,230,   ,Curb Line
B,P-179558,1,0,   ,Curb Line
B,P-179558,2,15,   ,Building Line
B,P-179558,3,72,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN  (SUPERSEDES SP-182C)                                                                                    
B,P-179558,4,72,   ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY                                                                                                                            
B,P-179558,5,72,E  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179558,6,168,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN  (SUPERSEDES SP-182C)                                                                                    
B,P-179558,7,168,   ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY                                                                                                                            
B,P-179558,8,168,W  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179558,9,216,   ,Building Line
B,P-179558,10,228,   ,Curb Line
B,P-179933,1,0,   ,Curb Line
B,P-179933,2,9,   ,Building Line
B,P-179933,3,110,S  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-179933,4,110,S  ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-179933,5,110,S  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179933,6,180,   ,NO STANDINGHANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12
B,P-179933,7,218,S  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-179933,8,219,   ,Building Line
B,P-179933,9,230,   ,Curb Line
B,P-179937,1,0,   ,Curb Line
B,P-179937,2,13,   ,Building Line
B,P-179937,3,35,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179937,4,35,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179937,5,35,N  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179937,6,211,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-179937,7,211,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-179937,8,211,S  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-179937,9,216,   ,Building Line
B,P-179937,10,230,   ,Curb Line
B,P-180011,1,0,   ,Curb Line
B,P-180011,2,19,   ,Building Line
B,P-180011,3,44,N  ,NO STANDING ANYTIME (SINGLE ARROW) (REPLACES R7-20RA)                                                                                                                   
B,P-180011,4,44,S  ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN W/ SIGNLE ARROW (SUPERSEDES SP-182CA)                                                                          
B,P-180011,5,44,S  ,2 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                                                  
B,P-180011,6,44,S  ,PAY AT MUNI-METER W/ SINGLE ARROW NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (DO NOT USE AS PER J.S-K 10/23/09)  
B,P-180011,7,132,N  ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN W/ SIGNLE ARROW (SUPERSEDES SP-182CA)                                                                          
B,P-180011,8,132,N  ,2 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                                                  
B,P-180011,9,132,   ,NYC PARKING CARD AVAILABLE (PARKING CARDS LOGO) FOR INFORMATION VISIT WWW.NYC.GOV/DOT OR CALL 311 (SUPERSEDES SP-186D
